iteration,train_mlogloss,train_merror,val_mlogloss,val_merror
0,1.0830768003552322,0.40144478844169246,1.0848392154041089,0.4064327485380117
1,1.0691321046544302,0.4004127966976264,1.0725829106325295,0.41228070175438597
2,1.0559724749856936,0.39680082559339525,1.0617834371432924,0.40058479532163743
3,1.0436376749054443,0.3993808049535604,1.049701856590851,0.4064327485380117
4,1.0322952029382728,0.3973168214654283,1.04030627901094,0.4064327485380117
5,1.0214376008855055,0.3978328173374613,1.0314230586004536,0.4064327485380117
6,1.0112260726152682,0.40092879256965946,1.022595393378832,0.4093567251461988
7,1.0015260124169636,0.4019607843137255,1.014427806201734,0.40350877192982454
8,0.9928168401322005,0.40299277605779155,1.0066574524369156,0.40058479532163743
9,0.9843066485427604,0.4004127966976264,0.9989026760497288,0.40058479532163743
10,0.9760176838674536,0.3957688338493292,0.9926984210809072,0.39766081871345027
11,0.9684588751987284,0.39680082559339525,0.9870447859778042,0.40058479532163743
12,0.9613471408254468,0.39628482972136225,0.9817844170924516,0.39766081871345027
13,0.9548546885927395,0.39628482972136225,0.9769479472037644,0.39766081871345027
14,0.9482518663347321,0.3957688338493292,0.9718451766591323,0.40350877192982454
15,0.9422566130126839,0.3973168214654283,0.966677418926306,0.39766081871345027
16,0.9363680133294272,0.39628482972136225,0.9628786674717016,0.40058479532163743
17,0.9309807391942962,0.3931888544891641,0.9595628764197143,0.40350877192982454
18,0.9259033949259511,0.3937048503611971,0.9562833168004689,0.39766081871345027
19,0.9208762446270392,0.3931888544891641,0.9523729532957077,0.40058479532163743
20,0.9161576102607882,0.3926728586171311,0.9492467823084335,0.39766081871345027
21,0.9116311449446053,0.39473684210526316,0.9460063920906413,0.39766081871345027
22,0.9076257046500472,0.3942208462332301,0.9433052988603101,0.40058479532163743
23,0.9033884963999099,0.39215686274509803,0.9407414361747385,0.39766081871345027
24,0.8994279603163401,0.39060887512899894,0.9386262958161316,0.39766081871345027
25,0.895536346409097,0.39060887512899894,0.9365072167581983,0.40058479532163743
26,0.8918597930417588,0.3895768833849329,0.934675459014742,0.40058479532163743
27,0.8883528308049075,0.3895768833849329,0.9330161077062986,0.40058479532163743
28,0.8850705395880375,0.3875128998968008,0.9314899883772197,0.39766081871345027
29,0.8816823022837978,0.38854489164086686,0.9292167949746226,0.40058479532163743
30,0.8785231280745122,0.38699690402476783,0.9277765804041199,0.40058479532163743
