Season,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2018-2019,Tottenham,28,38.0,66,533,182,34.1,14.03,4.79,0.12,0.34,18.1,23,4,4,54.9,51.8,0.1,11.1,10.2
2018-2019,Watford,25,38.0,51,436,148,33.9,11.47,3.89,0.11,0.34,17.3,22,1,1,48.2,47.5,0.11,2.8,2.5
2018-2019,West Ham,26,38.0,51,436,149,34.2,11.47,3.92,0.11,0.31,17.2,17,5,5,47.6,43.8,0.1,3.4,2.2
2018-2019,Wolves,21,38.0,46,473,144,30.4,12.45,3.79,0.09,0.29,17.7,12,4,4,52.1,49.0,0.11,-6.1,-7.0
2019-2020,Arsenal,29,38.0,56,403,146,36.2,10.61,3.84,0.13,0.36,16.4,19,3,3,47.0,44.6,0.11,9.0,8.4
2019-2020,Aston Villa,28,38.0,40,453,147,32.5,11.92,3.87,0.09,0.27,17.5,21,1,3,44.3,41.8,0.09,-4.3,-2.8
2019-2020,Bournemouth,27,38.0,38,385,117,30.4,10.13,3.08,0.09,0.29,17.3,21,4,4,44.8,41.7,0.11,-6.8,-7.7
2019-2020,Brighton,25,38.0,35,460,139,30.2,12.11,3.66,0.07,0.24,17.6,11,1,2,45.4,43.8,0.1,-10.4,-9.8
2019-2020,Burnley,22,38.0,41,384,124,32.3,10.11,3.26,0.1,0.31,16.4,18,3,3,47.4,45.3,0.12,-6.4,-7.3
2019-2020,Chelsea,27,38.0,69,618,210,34.0,16.26,5.53,0.1,0.3,16.6,29,7,7,69.2,64.4,0.11,-0.2,-2.4
2019-2020,Crystal Palace,25,38.0,29,373,115,30.8,9.82,3.03,0.07,0.23,17.0,15,3,3,35.8,33.6,0.09,-6.8,-7.6
2019-2020,Everton,24,38.0,42,468,159,34.0,12.32,4.18,0.09,0.26,16.4,20,1,1,50.8,50.0,0.11,-8.8,-9.0
2019-2020,Leicester City,24,38.0,65,533,183,34.3,14.03,4.82,0.11,0.33,17.4,20,5,7,62.2,56.7,0.11,2.8,3.3
