Feature,Importance
Diff_OverallPointsPerMatch,0.06252020363368209
Diff_TotalPts,0.061317527109961543
Home_D,0.03003790733627384
Diff_Rk,0.02383627172039799
Away_A_D,0.023689256667287675
Diff_TotalL,0.017025272204247724
Diff_TotalW,0.016424402939808177
Diff_OverallWinRate,0.014645796440221766
Diff_PrgP,0.014424623740036484
Diff_TotalGD,0.014371689008654235
Diff_TotalGF,0.013476085219711099
Diff_A_Pts/MP,0.013110135268277832
Away_TotalD,0.012700068358710587
Home_TotalD,0.011200244014702945
Diff_OverallGoalsPerMatch,0.011180852879264602
Diff_Succ,0.010832761960652838
Diff_SoT,0.010056625174949096
Diff_Poss,0.009991376992476065
Diff_A_xG,0.009860647770160519
Diff_xGA,0.009403108045471854
Diff_A_xGA,0.0093393796385103
Diff_A_Pts,0.009114304734985104
Diff_AwayPointsPerMatch,0.009080655006731353
Diff_D,0.009032365961852858
Diff_A_D,0.00872545559115147
Diff_A_W,0.008521109867313815
Diff_GD,0.008466545728126716
Diff_Sh,0.008449626807742838
Diff_SoT%,0.008183551245373738
Diff_Pts/MP,0.008182019575885489
Home_HomeAwayPointsDiff,0.008136165407811898
Diff_Att Pen,0.008053688724107373
Diff_PrgC,0.007914308159430356
Diff_L,0.007799943875086429
Diff_OverallGoalsConcededPerMatch,0.00779496606972581
Away_HomeAwayPointsDiff,0.007772641872713704
Diff_Live,0.007638093335510377
Diff_HomeAwayGoalsScoredDiff,0.007432055940848306
Diff_TotalGA,0.007183916620174948
Diff_A_GD,0.007123359400739394
Diff_A_GA,0.00703146584207586
Diff_W,0.007015027459771423
Diff_Touches,0.00699703132743493
Diff_A_xGD/90,0.0067922051736225356
Away_HomeAwayGoalsScoredDiff,0.006676924733360167
Diff_AwayWinRate,0.006656836492314636
Diff_xG,0.006626758699435714
Diff_HomeAwayGoalsConcededDiff,0.006620343800641157
Diff_A_xGD,0.006599942071016925
Diff_Att 3rd,0.006521241719424009
Diff_xGD,0.006426975112394845
Diff_A_L,0.006195271917908928
Home_L,0.006113054619042882
Diff_HomePointsPerMatch,0.0060812894795819914
Diff_Pts,0.005973795077017813
Diff_AwayGoalsConcededPerMatch,0.005948369103167292
Diff_xGD/90,0.005931820210314347
Home_Succ,0.0057500819692392815
Diff_HomeWinRate,0.005732378362874286
Home_HomeAwayGoalsConcededDiff,0.005571306627969203
Home_HomeAwayWinRateDiff,0.005513740454115753
Diff_AwayGoalsPerMatch,0.005481365906883125
Diff_TotalD,0.005393427506764755
Diff_HomeAwayPointsDiff,0.005260488290565039
Away_HomeAwayWinRateDiff,0.005212913787962002
Home_HomeAwayGoalsScoredDiff,0.005182184086336979
Away_A_L,0.005056532525873575
Diff_GA,0.00501660795705531
Away_Succ,0.004859188038751503
Away_HomeAwayGoalsConcededDiff,0.004850479337952955
Away_Att Pen,0.004790029499784182
Diff_HomeGoalsConcededPerMatch,0.004777611515498941
Diff_GF,0.004775214554096628
Home_SoT%,0.004644429798691837
Home_xGA,0.004630884998990359
Diff_HomeAwayWinRateDiff,0.004553007891437546
Home_xG,0.0044631265899351975
Diff_A_GF,0.004400851603857132
Away_SoT%,0.0041917389715627265
Away_Sh,0.004067954190134047
Away_A_xG,0.003939069623335113
Home_Pts/MP,0.003921521248494864
Away_A_GA,0.003777230392207148
Home_Pts,0.0037056706193069368
Away_SoT,0.003676401643558306
Diff_HomeGoalsPerMatch,0.00364091041613705
Away_xGA,0.003617370021911507
Home_A_xGA,0.0036146345345132113
Away_xG,0.0034737009138927303
Home_xGD,0.0034539783322701406
Home_PrgC,0.003435397118104279
Away_AwayGoalsConcededPerMatch,0.003380226688546236
Home_Att Pen,0.003374969870650943
Away_Att 3rd,0.0033197473200573223
Home_Sh,0.003237071785377303
Home_A_GD,0.003219640104106705
Away_A_Pts,0.0032016685589014385
Home_HomeGoalsPerMatch,0.0031114213170989917
Home_W,0.003059318693125011
Home_SoT,0.0030246788396150496
Away_PrgC,0.0030183525397072188
Away_AwayPointsPerMatch,0.003003114791970912
Away_PrgP,0.002998727682903891
Home_xGD/90,0.0029121296025955905
Away_A_xGA,0.002910068814284083
Home_Att 3rd,0.0028408244363153606
Home_HomeWinRate,0.0028284870192181533
Home_A_xG,0.0027561000637209413
Away_AwayWinRate,0.002723532852723299
Home_PrgP,0.00271931099683952
Away_A_GD,0.0026428878857858167
Home_A_xGD,0.002617505278841381
Away_A_xGD/90,0.0026142024183467088
Home_HomePointsPerMatch,0.0026083993641468346
Away_A_GF,0.0026036792968965935
Home_GA,0.0025646345412114802
Away_AwayGoalsPerMatch,0.002547161985752406
Away_A_W,0.00254673305938703
Home_Live,0.002523418326096096
Home_GD,0.0025122740447417555
Home_Poss,0.0024850926176753505
Away_Touches,0.002454350633171329
Home_A_GA,0.002441933380052138
Home_A_D,0.0024404138774939623
Away_A_xGD,0.0023005765049209288
Away_TotalL,0.002296573108386718
