epoch,train_loss,train_accuracy,val_accuracy
1,0.9981217956395341,0.5139318885448917,0.5906432748538012
2,0.9388170243539801,0.5629514963880289,0.5964912280701754
3,0.9118230542162254,0.5846233230134159,0.5818713450292398
4,0.9053765599326575,0.5877192982456141,0.6023391812865497
5,0.9012981733178452,0.5820433436532507,0.6081871345029239
6,0.9013380165931734,0.5835913312693498,0.6140350877192983
7,0.904543563615919,0.587203302373581,0.6081871345029239
8,0.907486312898689,0.5784313725490197,0.5994152046783626
9,0.9014601771430457,0.5892672858617131,0.6052631578947368
10,0.8789890062821293,0.6073271413828689,0.6081871345029239
11,0.8734507368814096,0.5990712074303406,0.5964912280701754
12,0.8836546774619135,0.5975232198142415,0.6228070175438597
13,0.8698398023074871,0.609391124871001,0.6081871345029239
14,0.8807437638872302,0.5980392156862745,0.6052631578947368
15,0.8711710410467488,0.6119711042311662,0.6140350877192983
16,0.8753158686945928,0.5985552115583075,0.6081871345029239
17,0.8733631630800088,0.6042311661506707,0.6023391812865497
18,0.8771533913779677,0.5995872033023736,0.5994152046783626
19,0.8738507758230125,0.5933952528379773,0.6023391812865497
20,0.8702622458292604,0.6130030959752322,0.6081871345029239
21,0.8571694635385331,0.6150670794633643,0.6052631578947368
22,0.8757364559837908,0.608875128998968,0.5964912280701754
23,0.8649540971676263,0.6124871001031992,0.5964912280701754
24,0.8678144139032984,0.6042311661506707,0.6023391812865497
25,0.8591502456473123,0.6171310629514963,0.6052631578947368
26,0.8578647374491697,0.5990712074303406,0.6111111111111112
27,0.8627997150854183,0.6119711042311662,0.6052631578947368
28,0.8617738648956897,0.609391124871001,0.6052631578947368
29,0.8510252592856424,0.6186790505675954,0.6081871345029239
30,0.8538839192090266,0.6104231166150671,0.6169590643274854
31,0.8544651201634953,0.6109391124871001,0.6140350877192983
32,0.8526317287770834,0.6155830753353974,0.6081871345029239
33,0.8682927855889249,0.609391124871001,0.6111111111111112
34,0.8569284028559154,0.6222910216718266,0.6052631578947368
35,0.8617066923063729,0.6114551083591331,0.6052631578947368
36,0.8456157500037714,0.6269349845201239,0.6052631578947368
37,0.844172129013467,0.6279669762641898,0.6081871345029239
38,0.8467401095711163,0.6119711042311662,0.6052631578947368
39,0.8451804231440935,0.6135190918472653,0.6081871345029239
40,0.8410522381710687,0.6191950464396285,0.6140350877192983
41,0.8413977563319683,0.6186790505675954,0.6081871345029239
42,0.8485657462025574,0.6202270381836945,0.6081871345029239
43,0.8529104621171705,0.6248710010319918,0.6111111111111112
44,0.8526317273623188,0.6099071207430341,0.6052631578947368
45,0.850488962649807,0.6207430340557275,0.6081871345029239
46,0.8523471554735497,0.6140350877192983,0.6081871345029239
47,0.8512543696368072,0.6197110423116615,0.6052631578947368
48,0.8414291042538496,0.6135190918472653,0.6081871345029239
49,0.8518306463495496,0.6176470588235294,0.6052631578947368
50,0.8436527606503513,0.6248710010319918,0.6081871345029239
51,0.8445507547557661,0.6171310629514963,0.6081871345029239
52,0.8468112561724872,0.6341589267285862,0.6023391812865497
53,0.8432520115584657,0.6140350877192983,0.6081871345029239
54,0.8499421358600613,0.6197110423116615,0.6081871345029239
55,0.8439539390451768,0.609391124871001,0.6052631578947368
56,0.846693147446718,0.6222910216718266,0.6111111111111112
57,0.8585995651004976,0.6176470588235294,0.6052631578947368
58,0.8544927663232273,0.6135190918472653,0.6111111111111112
59,0.8489563223993323,0.6181630546955624,0.6081871345029239
60,0.8379718802169627,0.6202270381836945,0.6081871345029239
61,0.8473962317802343,0.6119711042311662,0.6052631578947368
62,0.851907777589418,0.6191950464396285,0.6052631578947368
63,0.8558182894752983,0.6104231166150671,0.6111111111111112
64,0.8547767928510258,0.628482972136223,0.6111111111111112
65,0.8403216580119295,0.6181630546955624,0.6081871345029239
66,0.850141748862862,0.6124871001031992,0.6081871345029239
67,0.853785352379668,0.6233230134158927,0.6052631578947368
68,0.8542040744556116,0.6140350877192983,0.6081871345029239
69,0.8530887158047427,0.6228070175438597,0.6111111111111112
70,0.8434157605264702,0.6228070175438597,0.6140350877192983
71,0.8540925782777453,0.6109391124871001,0.6111111111111112
72,0.8406587746859335,0.6212590299277606,0.6111111111111112
73,0.8406410321854708,0.6140350877192983,0.6081871345029239
74,0.8374000678244513,0.6274509803921569,0.6081871345029239
75,0.8416804730338577,0.6217750257997936,0.6111111111111112
76,0.8456621940783057,0.609391124871001,0.6081871345029239
77,0.8526897608803276,0.6259029927760578,0.6052631578947368
78,0.8436318521529159,0.6228070175438597,0.6081871345029239
79,0.8450599542220187,0.6238390092879257,0.6052631578947368
80,0.8496338100748289,0.6130030959752322,0.6081871345029239
81,0.8442989092616228,0.6197110423116615,0.6081871345029239
82,0.8472105189619664,0.6057791537667698,0.6111111111111112
83,0.8551546343831947,0.6181630546955624,0.6081871345029239
84,0.8473140708064147,0.6130030959752322,0.6052631578947368
85,0.8413435202264934,0.6217750257997936,0.6081871345029239
86,0.844938246519819,0.6160990712074303,0.6052631578947368
87,0.8516053839118611,0.6176470588235294,0.6081871345029239
88,0.8453174847321367,0.6186790505675954,0.6081871345029239
89,0.8495945641992015,0.6207430340557275,0.6081871345029239
90,0.8364109396934509,0.6160990712074303,0.6081871345029239
91,0.8463586328937542,0.6155830753353974,0.6081871345029239
92,0.8559892718267884,0.6207430340557275,0.6081871345029239
93,0.8400262169793663,0.6114551083591331,0.6111111111111112
94,0.8512979206409002,0.6207430340557275,0.6081871345029239
95,0.8483257841153533,0.6130030959752322,0.6081871345029239
96,0.832969698066928,0.6212590299277606,0.6052631578947368
97,0.8482734891898369,0.6253869969040248,0.6081871345029239
98,0.8522311903620898,0.6140350877192983,0.6052631578947368
99,0.8511555621129441,0.6259029927760578,0.6111111111111112
100,0.8485571157698538,0.6186790505675954,0.6081871345029239
