Season,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
2021-2022,West Ham,25,38.0,14326,18378,78.0,251152,89191,46,37.4,32.4,8.6,320,1106,271,87,1449
2021-2022,Wolves,26,38.0,15253,19103,79.8,275607,92814,22,26.4,23.4,-4.4,294,1096,212,57,1283
2022-2023,Arsenal,26,38.0,18281,21969,83.2,310206,100635,64,53.5,46.8,10.5,443,1637,459,62,2049
2022-2023,Aston Villa,26,38.0,13782,17396,79.2,244073,87581,35,38.8,31.6,-3.8,318,964,268,80,1242
2022-2023,Bournemouth,31,38.0,11715,15381,76.2,206704,82672,24,28.4,26.3,-4.4,261,850,237,75,1006
2022-2023,Brentford,25,38.0,11317,15551,72.8,209962,87002,36,38.4,30.5,-2.4,284,922,279,87,1131
2022-2023,Brighton,29,38.0,19210,22888,83.9,319736,106474,46,52.2,44.7,-6.2,480,1459,391,78,1849
2022-2023,Chelsea,32,38.0,19147,22836,83.8,316440,104718,27,38.6,35.3,-11.6,376,1426,370,68,1737
2022-2023,Crystal Palace,26,38.0,13395,17308,77.4,238779,88389,29,29.0,23.8,0.0,316,1013,239,51,1243
2022-2023,Everton,28,38.0,11790,15783,74.7,214056,82478,24,32.4,26.9,-8.4,308,964,224,67,1052
2022-2023,Fulham,29,38.0,13974,18014,77.6,255629,89303,33,28.5,23.7,4.5,306,1044,284,97,1326
2022-2023,Leeds United,29,38.0,12437,16924,73.5,206567,84295,31,31.8,27.3,-0.8,337,1086,270,70,1429
2022-2023,Leicester City,28,38.0,14887,18871,78.9,249219,89055,36,38.4,26.3,-2.4,319,1142,220,52,1304
2022-2023,Liverpool,28,38.0,20043,24361,82.3,352929,120466,58,55.6,52.3,2.4,458,1615,452,85,1992
2022-2023,Manchester City,24,38.0,23263,26642,87.3,396454,114920,69,57.5,57.6,11.5,464,1770,445,75,2073
2022-2023,Manchester Utd,26,38.0,16603,20525,80.9,276625,97026,42,52.2,44.6,-10.2,478,1268,398,57,1595
2022-2023,Newcastle Utd,27,38.0,13925,17837,78.1,246297,90893,42,51.8,45.0,-9.8,435,1083,403,64,1618
2022-2023,Nott'ham Forest,33,38.0,9543,13606,70.1,177315,72656,22,26.3,20.5,-4.3,246,660,172,50,859
2022-2023,Southampton,36,38.0,12319,16391,75.2,211636,79814,25,28.1,26.0,-3.1,302,938,239,71,1125
2022-2023,Tottenham,29,38.0,15972,19672,81.2,277567,92695,46,43.0,34.0,3.0,386,1071,323,104,1449
2022-2023,West Ham,25,38.0,12369,16357,75.6,219013,84296,25,32.7,26.8,-7.7,340,990,212,80,1274
2022-2023,Wolves,32,38.0,14554,18294,79.6,264071,87310,12,25.4,21.0,-13.4,294,1110,252,71,1343
2023-2024,Arsenal,25,38.0,19094,22558,84.6,309533,102210,62,55.3,57.8,6.7,513,1546,548,68,2106
2023-2024,Aston Villa,31,38.0,16133,19363,83.3,281128,95293,55,48.6,42.5,6.4,398,1160,363,67,1451
2023-2024,Bournemouth,30,38.0,11899,15920,74.7,220978,83235,39,40.5,33.7,-1.5,414,1074,352,88,1314
2023-2024,Brentford,28,38.0,12551,16818,74.6,225971,88492,38,42.7,40.0,-4.7,332,965,333,106,1283
2023-2024,Brighton,30,38.0,21810,25029,87.1,341060,113686,36,41.6,43.7,-5.6,429,1484,384,81,1780
2023-2024,Burnley,31,38.0,13937,17959,77.6,246047,83556,30,29.7,26.6,0.3,326,976,216,54,1181
2023-2024,Chelsea,32,38.0,20039,23364,85.8,328448,109853,51,51.4,43.1,-0.4,419,1351,352,51,1615
2023-2024,Crystal Palace,26,38.0,12915,16754,77.1,225542,84922,43,38.7,31.5,4.3,353,995,273,60,1176
2023-2024,Everton,26,38.0,11349,15514,73.2,208537,88374,17,38.1,31.8,-21.1,339,958,284,77,1129
