Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
2021-2022,Crystal Palace,24,27.1,51.1,38,418,3420,38.0,50,31,81,44,6,8,69,1.0,46.4,40.1,31.0,71.1,592,1229
2021-2022,Everton,33,26.7,40.0,38,418,3420,38.0,42,29,71,36,6,7,82,6.0,41.2,35.8,28.5,64.3,512,1100
2021-2022,Leeds United,29,26.1,52.3,38,418,3420,38.0,42,26,68,37,5,5,101,3.0,44.4,40.4,31.3,71.8,671,1483
2021-2022,Leicester City,28,26.5,52.0,38,418,3420,38.0,62,46,108,60,2,2,55,1.0,47.8,46.2,34.2,80.4,622,1356
2021-2022,Liverpool,27,27.7,62.7,38,418,3420,38.0,94,71,165,87,7,8,50,1.0,88.7,82.7,63.5,146.2,885,2243
2021-2022,Manchester City,26,27.0,67.9,38,418,3420,38.0,96,63,159,89,7,9,42,1.0,88.7,81.4,65.5,146.9,1145,2421
2021-2022,Manchester Utd,29,27.2,52.7,38,418,3420,38.0,56,46,102,53,3,5,77,2.0,55.8,51.9,42.5,94.3,784,1568
2021-2022,Newcastle Utd,29,27.5,40.4,38,418,3420,38.0,41,23,64,38,3,3,81,2.0,38.1,35.9,25.8,61.7,544,923
2021-2022,Norwich City,28,26.2,42.9,38,418,3420,38.0,21,16,37,18,3,3,57,1.0,32.3,30.0,24.3,54.3,566,1031
2021-2022,Southampton,25,25.7,47.7,38,418,3420,38.0,41,26,67,37,4,4,65,2.0,44.8,41.6,32.5,74.1,728,1326
2021-2022,Tottenham,25,26.5,51.8,38,418,3420,38.0,63,50,113,58,5,5,69,1.0,61.2,57.3,47.0,104.4,791,1459
2021-2022,Watford,30,28.4,40.7,38,418,3420,38.0,33,26,59,32,1,2,63,3.0,40.0,38.4,32.5,70.9,557,1070
2021-2022,West Ham,25,28.2,47.9,38,418,3420,38.0,58,46,104,54,4,6,52,3.0,51.4,46.8,37.4,84.2,646,1449
2021-2022,Wolves,26,27.3,49.5,38,418,3420,38.0,35,22,57,34,1,1,62,2.0,37.5,36.8,26.4,63.2,723,1283
2022-2023,Arsenal,26,24.7,59.3,38,418,3420,38.0,84,64,148,81,3,4,51,0.0,71.6,68.9,53.5,122.4,824,2049
2022-2023,Aston Villa,26,27.0,49.3,38,418,3420,38.0,49,35,84,46,3,4,80,1.0,50.3,47.2,38.8,86.0,637,1242
2022-2023,Bournemouth,31,26.3,40.4,38,418,3420,38.0,37,24,61,37,0,0,68,0.0,38.5,38.5,28.4,66.9,504,1006
2022-2023,Brentford,25,26.2,43.8,38,418,3420,38.0,56,36,92,49,7,8,57,1.0,56.3,50.1,38.4,88.5,392,1131
