Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,A_xG,A_xGA,A_xGD,A_xGD/90
2018-2019,7,Wolves,19,10,4,5,28,21,7,34,1.79,31.3,18.9,12.4,0.65,19,6,5,8,19,25,-6,23,1.21,20.9,23.2,-2.3,-0.12
2018-2019,8,Everton,19,10,4,5,30,21,9,34,1.79,28.0,21.7,6.2,0.33,19,5,5,9,24,25,-1,20,1.05,21.7,24.0,-2.3,-0.12
2018-2019,9,Leicester City,19,8,3,8,24,20,4,27,1.42,26.3,19.9,6.5,0.34,19,7,4,8,27,28,-1,25,1.32,26.1,23.8,2.3,0.12
2018-2019,10,West Ham,19,9,4,6,32,27,5,31,1.63,25.2,23.3,1.9,0.1,19,6,3,10,20,28,-8,21,1.11,22.5,38.6,-16.2,-0.85
2018-2019,11,Watford,19,8,3,8,26,28,-2,27,1.42,23.1,29.2,-6.2,-0.32,19,6,5,8,26,31,-5,23,1.21,25.2,30.0,-4.8,-0.25
2018-2019,12,Crystal Palace,19,5,5,9,19,23,-4,20,1.05,28.1,23.5,4.7,0.25,19,9,2,8,32,30,2,29,1.53,19.5,26.6,-7.2,-0.38
2018-2019,13,Newcastle Utd,19,8,1,10,24,25,-1,25,1.32,22.6,25.2,-2.6,-0.14,19,4,8,7,18,23,-5,20,1.05,16.5,28.3,-11.9,-0.62
2018-2019,14,Bournemouth,19,8,5,6,30,25,5,29,1.53,27.7,25.2,2.5,0.13,19,5,1,13,26,45,-19,16,0.84,25.6,32.0,-6.4,-0.34
2018-2019,15,Burnley,19,7,2,10,24,32,-8,23,1.21,25.6,26.3,-0.8,-0.04,19,4,5,10,21,36,-15,17,0.89,18.8,35.7,-16.9,-0.89
2018-2019,16,Southampton,19,5,8,6,27,30,-3,23,1.21,24.6,25.0,-0.4,-0.02,19,4,4,11,18,35,-17,16,0.84,22.3,30.1,-7.8,-0.41
2018-2019,17,Brighton,19,6,5,8,19,28,-9,23,1.21,19.9,24.0,-4.1,-0.22,19,3,4,12,16,32,-16,13,0.68,15.4,35.1,-19.7,-1.04
2018-2019,18,Cardiff City,19,6,2,11,21,38,-17,20,1.05,24.6,25.5,-1.0,-0.05,19,4,2,13,13,31,-18,14,0.74,17.8,35.9,-18.2,-0.96
2018-2019,19,Fulham,19,6,3,10,22,36,-14,21,1.11,24.0,27.8,-3.7,-0.2,19,1,2,16,12,45,-33,5,0.26,17.3,40.4,-23.1,-1.22
2018-2019,20,Huddersfield,19,2,3,14,10,31,-21,9,0.47,16.2,28.0,-11.8,-0.62,19,1,4,14,12,45,-33,7,0.37,12.6,32.9,-20.3,-1.07
2019-2020,1,Liverpool,19,18,1,0,52,16,36,55,2.89,39.1,16.9,22.1,1.16,19,14,2,3,33,17,16,44,2.32,29.8,20.8,9.0,0.47
2019-2020,2,Manchester City,19,15,2,2,57,13,44,47,2.47,45.7,14.4,31.3,1.65,19,11,1,7,45,22,23,34,1.79,46.2,21.8,24.5,1.29
